
//-- 19.08.2015 19:22:22  -----------------------------

2  19:22:22 CloseMonitor
3  19:22:22 InitMonitor
4  19:22:22 AddNetName RKMONITOR
5  19:22:22 RKMONITOR added
6  19:22:22 ChanelOpen K69SERV
7  19:22:25 AddNetName RKMONITOR2
8  19:22:25 RKMONITOR2 added
9  19:22:25 ChanelOpen G69SERV
10  19:22:28 AddNetName RKMONITOR2
11  19:22:28 RKMONITOR2 added
12  19:22:28 ChanelOpen G69SERV
13  19:22:31 AddNetName RKMONITOR2
14  19:22:31 RKMONITOR2 added
15  19:22:31 ChanelOpen G69SERV
16  19:22:34 AddNetName RKMONITOR2
17  19:22:34 RKMONITOR2 added
18  19:22:34 ChanelOpen G69SERV

//-- 19.08.2015 19:23:01  -----------------------------

2  19:23:01 CloseMonitor
3  19:23:01 InitMonitor
4  19:23:01 AddNetName RKMONITOR
5  19:23:01 RKMONITOR added
6  19:23:01 ChanelOpen K69SERV
7  19:23:03 AddNetName RKMONITOR2
8  19:23:03 RKMONITOR2 added
9  19:23:03 ChanelOpen G69SERV
10  19:23:04 AddNetName RKMONITOR2
11  19:23:04 RKMONITOR2 added
12  19:23:04 ChanelOpen G69SERV
13  19:23:06 AddNetName RKMONITOR2
14  19:23:06 RKMONITOR2 added
15  19:23:06 ChanelOpen G69SERV
16  19:23:07 AddNetName RKMONITOR2
17  19:23:07 RKMONITOR2 added
18  19:23:07 ChanelOpen G69SERV
19  19:23:09 AddNetName RKMONITOR2
20  19:23:09 RKMONITOR2 added
21  19:23:09 ChanelOpen G69SERV
22  19:23:10 AddNetName RKMONITOR2
23  19:23:10 RKMONITOR2 added
24  19:23:10 ChanelOpen G69SERV
25  19:23:12 AddNetName RKMONITOR2
26  19:23:12 RKMONITOR2 added
27  19:23:12 ChanelOpen G69SERV
28  19:23:13 AddNetName RKMONITOR2
29  19:23:13 RKMONITOR2 added
30  19:23:13 ChanelOpen G69SERV
31  19:23:15 AddNetName RKMONITOR2
32  19:23:15 RKMONITOR2 added
33  19:23:15 ChanelOpen G69SERV
34  19:23:16 AddNetName RKMONITOR2
35  19:23:16 RKMONITOR2 added
36  19:23:16 ChanelOpen G69SERV
37  19:23:18 AddNetName RKMONITOR2
38  19:23:18 RKMONITOR2 added
39  19:23:18 ChanelOpen G69SERV
40  19:23:19 AddNetName RKMONITOR2
41  19:23:19 RKMONITOR2 added
42  19:23:19 ChanelOpen G69SERV
43  19:23:21 GetServerVersion97 on 0
44  19:23:21 GetServerVersion97 result 0
45  19:23:21 Collections read on 0
46  19:23:21 GetServerVersion97 on 0
47  19:23:21 GetServerVersion97 result 0
48  19:23:21 GetServerVersion97 on 1
49  19:23:21 GetServerVersion97 result 0
50  19:23:21 GetServerVersion97 on 2
51  19:23:21 GetServerVersion97 result 0
52  19:23:21 GetServerVersion97 on 3
53  19:23:21 GetServerVersion97 result 0
54  19:23:21 GetServerVersion97 on 4
55  19:23:21 GetServerVersion97 result 0
56  19:23:21 GetServerVersion97 on 5
57  19:23:21 GetServerVersion97 result 0
58  19:23:21 GetServerVersion97 on 6
59  19:23:21 GetServerVersion97 result 0
60  19:23:21 GetServerVersion97 on 7
61  19:23:21 GetServerVersion97 result 0
62  19:23:21 GetServerVersion97 on 8
63  19:23:21 GetServerVersion97 result 0
64  19:23:21 GetServerVersion97 on 9
65  19:23:21 GetServerVersion97 result 0
66  19:23:21 GetServerVersion97 on 10
67  19:23:21 GetServerVersion97 result 0
68  19:23:21 GetServerVersion97 on 11
69  19:23:21 GetServerVersion97 result 0
70  19:23:21 GetServerVersion97 on 12
71  19:23:21 GetServerVersion97 result 0
72  19:23:31 GetServerVersion97 on 0
73  19:23:31 GetServerVersion97 result 0
74  19:23:31 GetServerVersion97 on 1
75  19:23:31 GetServerVersion97 result 0
76  19:23:31 GetServerVersion97 on 2
77  19:23:31 GetServerVersion97 result 0
78  19:23:31 GetServerVersion97 on 3
79  19:23:31 GetServerVersion97 result 0
80  19:23:31 GetServerVersion97 on 4
81  19:23:31 GetServerVersion97 result 0
82  19:23:31 GetServerVersion97 on 5
83  19:23:31 GetServerVersion97 result 0
84  19:23:31 GetServerVersion97 on 6
85  19:23:31 GetServerVersion97 result 0
86  19:23:31 GetServerVersion97 on 7
87  19:23:31 GetServerVersion97 result 0
88  19:23:31 GetServerVersion97 on 8
89  19:23:31 GetServerVersion97 result 0
90  19:23:31 GetServerVersion97 on 9
91  19:23:31 GetServerVersion97 result 0
92  19:23:31 GetServerVersion97 on 10
93  19:23:31 GetServerVersion97 result 0
94  19:23:31 GetServerVersion97 on 11
95  19:23:31 GetServerVersion97 result 0
96  19:23:31 GetServerVersion97 on 12
97  19:23:31 GetServerVersion97 result 0
98  19:23:38 CloseMonitor

//-- 20.08.2015 12:20:13  -----------------------------

2  12:20:13 CloseMonitor
3  12:20:13 InitMonitor
4  12:20:13 AddNetName RKMONITOR
5  12:20:13 RKMONITOR added
6  12:20:13 ChanelOpen K69SERV
7  12:20:15 AddNetName RKMONITOR2
8  12:20:15 RKMONITOR2 added
9  12:20:15 ChanelOpen G69SERV
10  12:20:16 AddNetName RKMONITOR2
11  12:20:16 RKMONITOR2 added
12  12:20:16 ChanelOpen G69SERV
13  12:20:18 AddNetName RKMONITOR2
14  12:20:18 RKMONITOR2 added
15  12:20:18 ChanelOpen G69SERV
16  12:20:19 AddNetName RKMONITOR2
17  12:20:19 RKMONITOR2 added
18  12:20:19 ChanelOpen G69SERV
19  12:20:21 AddNetName RKMONITOR2
20  12:20:21 RKMONITOR2 added
21  12:20:21 ChanelOpen G69SERV
22  12:20:22 AddNetName RKMONITOR2
23  12:20:22 RKMONITOR2 added
24  12:20:22 ChanelOpen G69SERV
25  12:20:24 AddNetName RKMONITOR2
26  12:20:24 RKMONITOR2 added
27  12:20:24 ChanelOpen G69SERV
28  12:20:25 AddNetName RKMONITOR2
29  12:20:25 RKMONITOR2 added
30  12:20:25 ChanelOpen G69SERV
31  12:20:27 AddNetName RKMONITOR2
32  12:20:27 RKMONITOR2 added
33  12:20:27 ChanelOpen G69SERV
34  12:20:28 AddNetName RKMONITOR2
35  12:20:28 RKMONITOR2 added
36  12:20:28 ChanelOpen G69SERV
37  12:20:30 AddNetName RKMONITOR2
38  12:20:30 RKMONITOR2 added
39  12:20:30 ChanelOpen G69SERV
40  12:20:31 AddNetName RKMONITOR2
41  12:20:31 RKMONITOR2 added
42  12:20:31 ChanelOpen G69SERV
43  12:20:33 GetServerVersion97 on 0
44  12:20:33 GetServerVersion97 result 0
45  12:20:33 Collections read on 0
46  12:20:33 GetServerVersion97 on 0
47  12:20:33 GetServerVersion97 result 0
48  12:20:33 GetServerVersion97 on 1
49  12:20:33 GetServerVersion97 result 0
50  12:20:33 GetServerVersion97 on 2
51  12:20:33 GetServerVersion97 result 0
52  12:20:33 GetServerVersion97 on 3
53  12:20:33 GetServerVersion97 result 0
54  12:20:33 GetServerVersion97 on 4
55  12:20:33 GetServerVersion97 result 0
56  12:20:33 GetServerVersion97 on 5
57  12:20:33 GetServerVersion97 result 0
58  12:20:33 GetServerVersion97 on 6
59  12:20:33 GetServerVersion97 result 0
60  12:20:33 GetServerVersion97 on 7
61  12:20:33 GetServerVersion97 result 0
62  12:20:33 GetServerVersion97 on 8
63  12:20:33 GetServerVersion97 result 0
64  12:20:33 GetServerVersion97 on 9
65  12:20:33 GetServerVersion97 result 0
66  12:20:33 GetServerVersion97 on 10
67  12:20:33 GetServerVersion97 result 0
68  12:20:33 GetServerVersion97 on 11
69  12:20:33 GetServerVersion97 result 0
70  12:20:33 GetServerVersion97 on 12
71  12:20:33 GetServerVersion97 result 0
72  12:20:43 GetServerVersion97 on 0
73  12:20:43 GetServerVersion97 result 0
74  12:20:43 GetServerVersion97 on 1
75  12:20:43 GetServerVersion97 result 0
76  12:20:43 GetServerVersion97 on 2
77  12:20:43 GetServerVersion97 result 0
78  12:20:43 GetServerVersion97 on 3
79  12:20:43 GetServerVersion97 result 0
80  12:20:43 GetServerVersion97 on 4
81  12:20:43 GetServerVersion97 result 0
82  12:20:43 GetServerVersion97 on 5
83  12:20:43 GetServerVersion97 result 0
84  12:20:43 GetServerVersion97 on 6
85  12:20:43 GetServerVersion97 result 0
86  12:20:43 GetServerVersion97 on 7
87  12:20:43 GetServerVersion97 result 0
88  12:20:43 GetServerVersion97 on 8
89  12:20:43 GetServerVersion97 result 0
90  12:20:43 GetServerVersion97 on 9
91  12:20:43 GetServerVersion97 result 0
92  12:20:43 GetServerVersion97 on 10
93  12:20:43 GetServerVersion97 result 0
94  12:20:43 GetServerVersion97 on 11
95  12:20:43 GetServerVersion97 result 0
96  12:20:43 GetServerVersion97 on 12
97  12:20:43 GetServerVersion97 result 0
98  12:20:53 GetServerVersion97 on 0
99  12:20:53 GetServerVersion97 result 0
100  12:20:53 GetServerVersion97 on 1
101  12:20:53 GetServerVersion97 result 0
102  12:20:53 GetServerVersion97 on 2
103  12:20:53 GetServerVersion97 result 0
104  12:20:53 GetServerVersion97 on 3
105  12:20:53 GetServerVersion97 result 0
106  12:20:53 GetServerVersion97 on 4
107  12:20:53 GetServerVersion97 result 0
108  12:20:53 GetServerVersion97 on 5
109  12:20:53 GetServerVersion97 result 0
110  12:20:53 GetServerVersion97 on 6
111  12:20:53 GetServerVersion97 result 0
112  12:20:53 GetServerVersion97 on 7
113  12:20:53 GetServerVersion97 result 0
114  12:20:53 GetServerVersion97 on 8
115  12:20:53 GetServerVersion97 result 0
116  12:20:53 GetServerVersion97 on 9
117  12:20:53 GetServerVersion97 result 0
118  12:20:53 GetServerVersion97 on 10
119  12:20:53 GetServerVersion97 result 0
120  12:20:53 GetServerVersion97 on 11
121  12:20:53 GetServerVersion97 result 0
122  12:20:53 GetServerVersion97 on 12
123  12:20:53 GetServerVersion97 result 0
124  12:21:03 GetServerVersion97 on 0
125  12:21:03 GetServerVersion97 result 0
126  12:21:03 GetServerVersion97 on 1
127  12:21:03 GetServerVersion97 result 0
128  12:21:03 GetServerVersion97 on 2
129  12:21:03 GetServerVersion97 result 0
130  12:21:03 GetServerVersion97 on 3
131  12:21:03 GetServerVersion97 result 0
132  12:21:03 GetServerVersion97 on 4
133  12:21:03 GetServerVersion97 result 0
134  12:21:03 GetServerVersion97 on 5
135  12:21:03 GetServerVersion97 result 0
136  12:21:03 GetServerVersion97 on 6
137  12:21:03 GetServerVersion97 result 0
138  12:21:03 GetServerVersion97 on 7
139  12:21:03 GetServerVersion97 result 0
140  12:21:03 GetServerVersion97 on 8
141  12:21:03 GetServerVersion97 result 0
142  12:21:03 GetServerVersion97 on 9
143  12:21:03 GetServerVersion97 result 0
144  12:21:03 GetServerVersion97 on 10
145  12:21:03 GetServerVersion97 result 0
146  12:21:03 GetServerVersion97 on 11
147  12:21:03 GetServerVersion97 result 0
148  12:21:03 GetServerVersion97 on 12
149  12:21:03 GetServerVersion97 result 0
150  12:21:13 GetServerVersion97 on 0
151  12:21:13 GetServerVersion97 result 0
152  12:21:13 GetServerVersion97 on 1
153  12:21:13 GetServerVersion97 result 0
154  12:21:13 GetServerVersion97 on 2
155  12:21:13 GetServerVersion97 result 0
156  12:21:13 GetServerVersion97 on 3
157  12:21:13 GetServerVersion97 result 0
158  12:21:13 GetServerVersion97 on 4
159  12:21:13 GetServerVersion97 result 0
160  12:21:13 GetServerVersion97 on 5
161  12:21:13 GetServerVersion97 result 0
162  12:21:13 GetServerVersion97 on 6
163  12:21:13 GetServerVersion97 result 0
164  12:21:13 GetServerVersion97 on 7
165  12:21:13 GetServerVersion97 result 0
166  12:21:13 GetServerVersion97 on 8
167  12:21:13 GetServerVersion97 result 0
168  12:21:13 GetServerVersion97 on 9
169  12:21:13 GetServerVersion97 result 0
170  12:21:13 GetServerVersion97 on 10
